Date (UTC),Nuclear,Non-Renewable,Renewable,Day Ahead Auction (AT),Day Ahead Auction (BE),Day Ahead Auction (BG),Day Ahead Auction (CZ),Day Ahead Auction (DE-LU),Day Ahead Auction (DK1),Day Ahead Auction (DK2),Day Ahead Auction (EE),Day Ahead Auction (ES),Day Ahead Auction (FI),Day Ahead Auction (FR),Day Ahead Auction (GR),Day Ahead Auction (HR),Day Ahead Auction (HU),Day Ahead Auction (IE(SEM)),Day Ahead Auction (IT-Calabria),Day Ahead Auction (IT-Centre-North),Day Ahead Auction (IT-Centre-South),Day Ahead Auction (IT-North),Day Ahead Auction (IT-SACOAC),Day Ahead Auction (IT-SACODC),Day Ahead Auction (IT-Sardinia),Day Ahead Auction (IT-Sicily),Day Ahead Auction (IT-South),Day Ahead Auction (LT),Day Ahead Auction (LV),Day Ahead Auction (NL),Day Ahead Auction (PL),Day Ahead Auction (PT),Day Ahead Auction (RO),Day Ahead Auction (SE1),Day Ahead Auction (SE2),Day Ahead Auction (SE3),Day Ahead Auction (SE4),Day Ahead Auction (SI),Day Ahead Auction (SK)
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)"
2023-12-31T23:00+00:00,74823.07,55798.47,130680.28,0.1,0.1,0.1,0.1,0.1,16.99,29.13,38.37,63.33,38.37,0.1,107.09,0.1,0.1,41.26,107.09,107.09,107.09,107.09,107.09,107.09,107.09,107.09,107.09,38.37,38.37,0.1,76.69,63.33,0.1,29.56,29.56,29.56,29.56,0.1,0.1
2024-01-01T00:00+00:00,71894.77,54048.78,128449.22,0.01,0.01,0.01,0.01,0.01,28.14,28.46,28.46,50.09,28.46,0.01,104,0.01,0.01,52.98,104,104,104,104,104,104,104,104,104,28.46,28.46,0.01,74.5,50.09,0.01,28.46,28.46,28.46,28.46,0.01,0.01
2024-01-01T01:00+00:00,71575.99,51998.49,127967.22,0.02,0,0.04,0.02,0,26.66,26.66,26.66,47.5,26.66,0,100,0.03,0.04,52.33,100,100,100,100,100,100,100,100,100,26.66,26.66,0,73.29,47.5,0.04,26.66,26.66,26.66,26.66,0.03,0.05
2024-01-01T02:00+00:00,71153.72,51673.09,125948.89,0,-0.01,0.01,0,-0.01,4.14,24.48,24.48,43.5,24.48,-0.01,85.66,0,0.01,36.02,85.66,85.66,85.66,85.66,85.66,85.66,85.66,85.66,85.66,24.48,24.48,-0.01,71.58,43.5,0.01,24.48,24.48,24.48,24.48,0,0.01
2024-01-01T03:00+00:00,70977.22,51203.32,119408.39,-0.01,-0.03,0.01,-0.01,-0.03,-0.03,24.01,24.01,42.5,24.01,-0.03,85,0,0.01,31.15,85,85,85,85,85,85,85,85,85,24.01,24.01,-0.03,73.27,42.5,0.01,24.01,24.01,24.01,24.01,0,0.01
2024-01-01T04:00+00:00,70414.21,51853.33,118423.06,-0.01,-0.02,0.01,-0.01,-0.02,-0.02,15.88,21.23,42.09,21.23,-0.02,85.53,0,0.01,30.98,85.53,85.53,85.53,85.53,85.53,85.53,85.53,85.53,85.53,21.23,21.23,-0.02,74.32,42.09,0.01,21.23,21.23,21.23,21.23,0,0.01
2024-01-01T05:00+00:00,70393.18,52140.3,117069.43,0,-0.05,0.04,0,-0.05,-0.05,15.87,22.62,42.5,22.62,-0.04,95.07,0.02,0.04,45.87,95.07,95.07,95.07,95.07,95.07,95.07,95.07,95.07,95.07,22.62,22.62,-0.05,76.69,42.5,0.04,22.62,22.62,22.62,22.62,0.02,0.04
2024-01-01T06:00+00:00,71085.82,52486.94,117095.83,0,-0.02,0.01,0,-0.02,-0.02,22.04,25.04,42.59,25.04,-0.01,103.07,0,0.01,68.81,104.07,104.07,104.07,104.07,104.07,104.07,104.07,104.07,104.07,25.04,25.04,-0.02,74.55,42.59,0.01,25.04,25.04,25.04,25.04,0,0.01
2024-01-01T07:00+00:00,70942.92,52117.81,121565.19,0,0,0.01,0,0,0,25.42,26.24,43.37,26.24,0,65,0,0,78.3,106.95,106.95,106.95,106.95,106.95,106.95,106.95,106.95,106.95,26.24,26.24,0,72.25,43.37,0,26.24,26.24,26.24,26.24,0,0
2024-01-01T08:00+00:00,69650.67,52563.01,131603.43,0.04,0.04,0.04,0.04,0.04,0.08,32.21,32.21,42.29,32.21,0.04,47.34,0.04,0.04,82.76,107.08,107.08,107.08,107.08,107.08,107.08,107.08,107.08,107.08,32.21,32.21,0.04,76.01,42.29,0.04,32.21,32.21,32.21,32.21,0.04,0.04
2024-01-01T09:00+00:00,70263.55,53062.01,142299.46,0.06,0.06,0.06,0.06,0.06,41.34,41.34,41.34,25,41.34,0.06,1,0.06,0.06,97.91,104,104,104,104,104,104,104,104,104,41.34,41.34,0.06,82.2,35.61,0.06,41.34,41.34,41.34,41.34,0.06,0.06
2024-01-01T10:00+00:00,71289.57,52282.16,152785.89,0.54,0.54,0.54,0.54,0.54,43.51,43.51,43.51,3.9,43.51,0.54,0.54,0.54,0.54,139.58,98.13,98.13,98.13,98.13,98.13,98.13,98.13,98.13,98.13,43.51,43.51,0.54,82.91,29.8,0.54,43.51,43.51,43.51,43.51,0.54,0.54
2024-01-01T11:00+00:00,71335.98,53388.87,157055.82,2.24,2.24,2.24,2.24,2.24,43.02,43.02,58.64,3.2,58.64,2.24,2.24,2.24,2.24,115,101.55,101.55,101.55,101.55,101.55,101.55,101.55,101.55,101.55,58.64,58.64,2.24,80.87,3.2,2.24,43.02,43.02,43.02,43.02,2.24,2.24
