Date (UTC),Nuclear,Non-Renewable,Renewable,Day Ahead Auction (AT),Day Ahead Auction (BE),Day Ahead Auction (BG),Day Ahead Auction (CZ),Day Ahead Auction (DE-LU),Day Ahead Auction (DK1),Day Ahead Auction (DK2),Day Ahead Auction (EE),Day Ahead Auction (ES),Day Ahead Auction (FI),Day Ahead Auction (FR),Day Ahead Auction (GR),Day Ahead Auction (HR),Day Ahead Auction (HU),Day Ahead Auction (IE(SEM)),Day Ahead Auction (IT-Calabria),Day Ahead Auction (IT-Centre-North),Day Ahead Auction (IT-Centre-South),Day Ahead Auction (IT-North),Day Ahead Auction (IT-SACOAC),Day Ahead Auction (IT-SACODC),Day Ahead Auction (IT-Sardinia),Day Ahead Auction (IT-Sicily),Day Ahead Auction (IT-South),Day Ahead Auction (LT),Day Ahead Auction (LV),Day Ahead Auction (NL),Day Ahead Auction (PL),Day Ahead Auction (PT),Day Ahead Auction (RO),Day Ahead Auction (SE1),Day Ahead Auction (SE2),Day Ahead Auction (SE3),Day Ahead Auction (SE4),Day Ahead Auction (SI),Day Ahead Auction (SK)
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)"
2021-12-31T23:00+00:00,75547.22,63360.42,117233.32,61.84,82.02,61.93,50.05,50.05,50.05,46.6,50.05,145.86,46.6,89.06,170.28,61.84,61.84,0.27,170.28,170.28,170.28,170.28,250,170.28,170.28,170.28,170.28,50.05,50.05,124.7,59.03,145.86,61.84,46.6,46.6,46.6,46.6,61.84,50.05
2022-01-01T00:00+00:00,74629.02,62075.79,113800.17,51.44,67.07,41.39,41.33,41.33,41.33,41.33,41.33,114.9,41.33,78.48,155.72,51.44,41.33,-0.01,155.72,155.72,155.72,155.72,250,155.72,155.72,155.72,155.72,41.33,41.33,124.7,49.37,114.9,41.33,41.33,41.33,41.33,41.33,51.44,41.33
2022-01-01T01:00+00:00,73998.26,60957.97,109817.33,55.91,75.11,43.15,43.22,43.22,43.22,42.18,42.18,113.87,42.18,85.16,147.09,55.91,43.22,0.27,147.09,147.09,147.09,147.09,250,147.09,147.09,147.09,147.09,42.18,42.18,134,43.22,113.87,43.09,42.18,42.18,42.18,42.18,55.91,43.22
2022-01-01T02:00+00:00,72974.06,59826.58,106359.67,46.94,50.91,45.53,45.46,45.46,45.46,44.37,44.37,97.8,44.37,50,91,46.94,45.46,-0.01,91,91,91,91,250,91,91,91,91,44.37,44.37,58.8,45.46,97.8,45.46,44.37,44.37,44.37,44.37,46.94,45.46
2022-01-01T03:00+00:00,72507.23,58635.54,104361.77,37.67,37.67,37.73,37.67,37.67,37.67,37.67,37.67,97.8,37.67,37.67,104,37.67,37.67,-0.01,104,104,104,104,250,104,104,104,104,37.67,37.67,37.67,37.67,97.8,37.67,37.67,37.67,37.67,37.67,37.67,37.67
2022-01-01T04:00+00:00,72910.45,58651.26,102794.75,39.7,39.7,39.76,39.7,39.7,39.7,39.7,39.7,95.74,39.7,39.7,140.6,39.7,39.7,-5.27,140.6,140.6,140.6,140.6,250,140.6,140.6,140.6,140.6,39.7,39.7,39.7,39.7,95.74,39.7,39.7,39.7,39.7,39.7,39.7,39.7
2022-01-01T05:00+00:00,73453.75,58932.15,101946.44,40.59,40.59,40.65,40.59,40.59,40.59,40.59,40.59,97.8,40.59,40.59,147.09,40.59,40.59,-14.4,147.09,147.09,147.09,147.09,250,147.09,147.09,147.09,147.09,40.59,40.59,40.59,40.59,97.8,40.59,40.59,40.59,40.59,40.59,40.59,40.59
2022-01-01T06:00+00:00,73775.87,59854.45,103191.58,43.26,43.26,43.13,43.26,43.26,43.26,43.26,43.26,97.8,43.26,43.26,99.99,43.26,43.26,-23.72,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,43.26,43.26,43.26,43.26,97.8,43.06,43.26,43.26,43.26,43.26,43.26,43.26
2022-01-01T07:00+00:00,75473.96,59193.68,105218.92,49.66,49.66,40.68,49.66,49.66,49.66,49.66,49.66,97.8,49.66,49.66,40.62,49.66,49.66,-16.5,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,49.66,49.66,49.66,49.66,97.8,40.62,49.44,49.44,49.66,49.66,49.66,49.66
