Date (UTC),Nuclear,Non-Renewable,Renewable,Day Ahead Auction (AT),Day Ahead Auction (BE),Day Ahead Auction (BG),Day Ahead Auction (CH),Day Ahead Auction (CZ),Day Ahead Auction (DE-LU),Day Ahead Auction (DK1),Day Ahead Auction (DK2),Day Ahead Auction (EE),Day Ahead Auction (ES),Day Ahead Auction (FI),Day Ahead Auction (FR),Day Ahead Auction (GR),Day Ahead Auction (HR),Day Ahead Auction (HU),Day Ahead Auction (IE(SEM)),Day Ahead Auction (IT-Calabria),Day Ahead Auction (IT-Centre-North),Day Ahead Auction (IT-Centre-South),Day Ahead Auction (IT-North),Day Ahead Auction (IT-SACOAC),Day Ahead Auction (IT-SACODC),Day Ahead Auction (IT-Sardinia),Day Ahead Auction (IT-Sicily),Day Ahead Auction (IT-South),Day Ahead Auction (LT),Day Ahead Auction (LV),Day Ahead Auction (ME),Day Ahead Auction (MK),Day Ahead Auction (NL),Day Ahead Auction (NO1),Day Ahead Auction (NO2),Day Ahead Auction (NO2NSL),Day Ahead Auction (NO3),Day Ahead Auction (NO4),Day Ahead Auction (NO5),Day Ahead Auction (PL),Day Ahead Auction (PT),Day Ahead Auction (RO),Day Ahead Auction (RS),Day Ahead Auction (SE1),Day Ahead Auction (SE2),Day Ahead Auction (SE3),Day Ahead Auction (SE4),Day Ahead Auction (SI),Day Ahead Auction (SK)
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)"
2023-12-31T23:00+00:00,77814.16,59813.18,147532.67,0.1,0.1,0.1,25.97,0.1,0.1,16.99,29.13,38.37,63.33,38.37,0.1,107.09,0.1,0.1,41.26,107.09,107.09,107.09,107.09,107.09,107.09,107.09,107.09,107.09,38.37,38.37,91.82,105.14,0.1,53.79,53.79,56.37,29.56,29.56,55.41,76.69,63.33,0.1,7.07,29.56,29.56,29.56,29.56,0.1,0.1
2024-01-01T00:00+00:00,74884.17,58038.2,144472.46,0.01,0.01,0.01,21.99,0.01,0.01,28.14,28.46,28.46,50.09,28.46,0.01,104,0.01,0.01,52.98,104,104,104,104,104,104,104,104,104,28.46,28.46,85.24,86.04,0.01,48.98,48.98,43.43,28.46,28.46,53.41,74.5,50.09,0.01,5.02,28.46,28.46,28.46,28.46,0.01,0.01
2024-01-01T01:00+00:00,74565.2,55944.16,143193.02,0.02,0,0.04,14.32,0.02,0,26.66,26.66,26.66,47.5,26.66,0,100,0.03,0.04,52.33,100,100,100,100,100,100,100,100,100,26.66,26.66,77.28,57.44,0,27.45,27.45,40.92,26.66,26.66,52.03,73.29,47.5,0.04,1.1,26.66,26.66,26.66,26.66,0.03,0.05
2024-01-01T02:00+00:00,74141.34,55531.44,140190.69,0,-0.01,0.01,11.37,0,-0.01,4.14,24.48,24.48,43.5,24.48,-0.01,85.66,0,0.01,36.02,85.66,85.66,85.66,85.66,85.66,85.66,85.66,85.66,85.66,24.48,24.48,70.05,30,-0.01,24.48,24.48,33.51,24.48,24.48,50.74,71.58,43.5,0.01,2.3,24.48,24.48,24.48,24.48,0,0.01
2024-01-01T03:00+00:00,73965.24,55134.79,133639.52,-0.01,-0.03,0.01,11.35,-0.01,-0.03,-0.03,24.01,24.01,42.5,24.01,-0.03,85,0,0.01,31.15,85,85,85,85,85,85,85,85,85,24.01,24.01,67.09,10.38,-0.03,24.01,24.01,30.01,24.01,24.01,49.84,73.27,42.5,0.01,2.27,24.01,24.01,24.01,24.01,0,0.01
2024-01-01T04:00+00:00,73400.94,55779.61,133270.22,-0.01,-0.02,0.01,11.39,-0.01,-0.02,-0.02,15.88,21.23,42.09,21.23,-0.02,85.53,0,0.01,30.98,85.53,85.53,85.53,85.53,85.53,85.53,85.53,85.53,85.53,21.23,21.23,67.09,5.01,-0.02,21.23,21.23,31.72,21.23,21.23,53.77,74.32,42.09,0.01,5.4,21.23,21.23,21.23,21.23,0,0.01
2024-01-01T05:00+00:00,73378.72,56072.76,132244.27,0,-0.05,0.04,11.34,0,-0.05,-0.05,15.87,22.62,42.5,22.62,-0.04,95.07,0.02,0.04,45.87,95.07,95.07,95.07,95.07,95.07,95.07,95.07,95.07,95.07,22.62,22.62,81.65,65.99,-0.05,22.62,22.62,36.58,22.62,22.62,57.07,76.69,42.5,0.04,7.03,22.62,22.62,22.62,22.62,0.02,0.04
2024-01-01T06:00+00:00,74071.27,55322.16,132598.78,0,-0.02,0.01,8.31,0,-0.02,-0.02,22.04,25.04,42.59,25.04,-0.01,103.07,0,0.01,68.81,104.07,104.07,104.07,104.07,104.07,104.07,104.07,104.07,104.07,25.04,25.04,79.93,12.5,-0.02,25.04,25.04,29.37,25.04,25.04,57.22,74.55,42.59,0.01,7.97,25.04,25.04,25.04,25.04,0,0.01
2024-01-01T07:00+00:00,73928.37,56059.19,137179.73,0,0,0.01,8.51,0,0,0,25.42,26.24,43.37,26.24,0,65,0,0,78.3,106.95,106.95,106.95,106.95,106.95,106.95,106.95,106.95,106.95,26.24,26.24,94.6,11.82,0,26.24,26.24,37,26.24,26.24,46.76,72.25,43.37,0,8.92,26.24,26.24,26.24,26.24,0,0
2024-01-01T08:00+00:00,72633.84,56576.97,148297.2,0.04,0.04,0.04,10.63,0.04,0.04,0.08,32.21,32.21,42.29,32.21,0.04,47.34,0.04,0.04,82.76,107.08,107.08,107.08,107.08,107.08,107.08,107.08,107.08,107.08,32.21,32.21,82.1,13.13,0.04,32.21,32.21,37.19,32.21,30.93,46.89,76.01,42.29,0.04,12.96,32.21,32.21,32.21,32.21,0.04,0.04
2024-01-01T09:00+00:00,73249.19,57098.23,160197.83,0.06,0.06,0.06,9.75,0.06,0.06,41.34,41.34,41.34,25,41.34,0.06,1,0.06,0.06,97.91,104,104,104,104,104,104,104,104,104,41.34,41.34,28.03,4.61,0.06,47.71,47.71,48.36,41.34,32.99,47.71,82.2,35.61,0.06,7.02,41.34,41.34,41.34,41.34,0.06,0.06
2024-01-01T10:00+00:00,74273.33,56315.69,171535.59,0.54,0.54,0.54,8.24,0.54,0.54,43.51,43.51,43.51,3.9,43.51,0.54,0.54,0.54,0.54,139.58,98.13,98.13,98.13,98.13,98.13,98.13,98.13,98.13,98.13,43.51,43.51,15.8,5.65,0.54,52.51,52.51,47.52,43.51,35.56,52.51,82.91,29.8,0.54,7,43.51,43.51,43.51,43.51,0.54,0.54
2024-01-01T11:00+00:00,74318.75,57411.16,176670.81,2.24,2.24,2.24,10.71,2.24,2.24,43.02,43.02,58.64,3.2,58.64,2.24,2.24,2.24,2.24,115,101.55,101.55,101.55,101.55,101.55,101.55,101.55,101.55,101.55,58.64,58.64,21.77,5,2.24,56.57,56.57,58.66,43.02,35.56,56.57,80.87,3.2,2.24,6.93,43.02,43.02,43.02,43.02,2.24,2.24
